name_product,hydration,longevity
롬앤_쥬시래스팅틴트_피그피그,3,2.5
롬앤_쥬시래스팅틴트_피치미,2,2.666666667
롬앤_쥬시래스팅틴트_피치피치미,2.428571429,2
롬앤_쥬시래스팅틴트_핑크펌킨,3,2.5
릴리바이레드_무드라이어벨벳틴트_가식없는리치인척,1.75,2
릴리바이레드_무드라이어벨벳틴트_그윽한홍시인척,2,2.5
릴리바이레드_무드라이어벨벳틴트_무덤덤한무화과인척,2.25,1.75
릴리바이레드_무드라이어벨벳틴트_순수한사과인척,2.117647059,2.125
릴리바이레드_무드라이어벨벳틴트_시니컬한블루베리인척,2,2.705882353
릴리바이레드_무드라이어벨벳틴트_우아한산딸기인척,2.153846154,2.6
릴리바이레드_무드라이어벨벳틴트_자비없는포도인척,1.9375,2.538461538
릴리바이레드_무드라이어벨벳틴트_철없는체리인척,1.833333333,2.25
릴리바이레드_무드라이어벨벳틴트_청초한살구인척,3,2.666666667
릴리바이레드_무드라이어벨벳틴트_치명적인석류인척,1.9375,2
메리몽드_밀크하트틴트립앤치크_모브밀크,2.846153846,2.5625
메리몽드_밀크하트틴트립앤치크_뮤트밀크,2.7,2.769230769
메리몽드_밀크하트틴트립앤치크_스트로베리밀크,2.666666667,2.5
메리몽드_밀크하트틴트립앤치크_캔디밀크,2.555555556,2.166666667
메리몽드_체리하트메가틴트_리얼체리,2,1.888888889
메리몽드_체리하트메가틴트_모브체리,2.166666667,2.5
메리몽드_체리하트메가틴트_뮤트체리,2.19047619,2.166666667
메리몽드_체리하트메가틴트_버터체리,1.75,2.285714286
메리몽드_체리하트메가틴트_차분체리,2.75,2
메리몽드_체리하트메가틴트_크림체리,1.333333333,3
뮤드_글라세립틴트_모브모어,2,2.333333333
뮤드_글라세립틴트_오운핑크,2.555555556,2
뮤드_글라세립틴트_위켄드,3,2
뮤드_글라세립틴트_윈디,2.8,2.833333333
뮤드_글라세립틴트_코랄글라세,2.833333333,2.8
뮤드_글라세립틴트_콜드체리,3,2.5
뮤드_글라세립틴트_플러미,3,2.666666667
뮤드_소프트블러틴트_러스티슈가,1.5,2
뮤드_소프트블러틴트_메이플,1,2
뮤드_소프트블러틴트_번트시에나,1,2.333333333
뮤드_소프트블러틴트_베리팟,1.666666667,3
뮤드_소프트블러틴트_소울모브,1,2.5
뮤드_소프트블러틴트_스무디,2.75,3
뮤드_소프트블러틴트_인스파이어,1.666666667,2.75
뮤드_소프트블러틴트_체리아워,3,2.25
뮤드_소프트블러틴트_퍼피,1,3
뮤드_소프트블러틴트_페일페탈,1.833333333,2
뮤드_소프트블러틴트_프렌치플럼,1,2.333333333
뮤드_소프트블러틴트_하트워밍,2.333333333,3
바닐라코_글로우베일립스틱_러브미,2.882352941,2.333333333
바닐라코_글로우베일립스틱_블리스,2.555555556,2.411764706
바닐라코_글로우베일립스틱_슈가코랄,2.625,2.222222222
바닐라코_글로우베일립스틱_애플캔디,2.25,2
바닐라코_글로우베일립스틱_쥬시피즈,3,2
바닐라코_글로우베일립스틱_핑크플레저,2.75,1.5
바닐라코_벨벳블러드베일립스틱_더스티 로즈,2,1.875
바닐라코_벨벳블러드베일립스틱_드리머,1.5,2
바닐라코_벨벳블러드베일립스틱_러스틱,1.666666667,2
바닐라코_벨벳블러드베일립스틱_로지 페탈,1.642857143,1.555555556
바닐라코_벨벳블러드베일립스틱_미스틱로즈,1.333333333,2.285714286
바닐라코_벨벳블러드베일립스틱_바비 핑크,1.666666667,1.666666667
바닐라코_벨벳블러드베일립스틱_선셋,1.75,2.666666667
바닐라코_벨벳블러드베일립스틱_스모크 모브,1.642857143,2.25
바닐라코_벨벳블러드베일립스틱_스타일아이콘,1,2.214285714
바닐라코_벨벳블러드베일립스틱_오렌지 블러쉬,1.666666667,2
바닐라코_벨벳블러드베일립스틱_위스퍼링 핑크,1.636363636,1.833333333
바닐라코_벨벳블러드베일립스틱_코랄 실루엣,1.5,1.727272727
바닐라코_벨벳블러드베일립스틱_클로짓,1.555555556,2
바닐라코_벨벳블러드베일립스틱_플릿츠,1.25,1.666666667
바닐라코_쉬어벨벳베일틴트_러브미,1.818181818,1.75
바닐라코_쉬어벨벳베일틴트_로지어페어,1,2.272727273
바닐라코_쉬어벨벳베일틴트_발레리나,1.516129032,2
바닐라코_쉬어벨벳베일틴트_브릭베이크,1.8,2.225806452
바닐라코_쉬어벨벳베일틴트_빈티지멜로우,1.6,2.2
바닐라코_쉬어벨벳베일틴트_캐시미어,1.333333333,2.6
바닐라코_쉬어벨벳베일틴트_텐더브리즈,1.727272727,2.166666667
바닐라코_쉬어벨벳베일틴트_프렌치레드,1.666666667,2.090909091
바닐라코_쉬어벨벳베일틴트_피그모브,1.5625,2.833333333
바닐라코_쉬어벨벳베일틴트_피오리,2,2.25
아떼_어센틱에어리립밤_써니사이드업,1.666666667,2.181818182
아떼_어센틱에어리립밤_쏘웜,3,1.933333333
아떼_어센틱에어리립밤_체리베리머치,2.230769231,2.888888889
아떼_어센틱에어리립밤_칠리,2.333333333,2.307692308
아떼_어센틱에어리립밤_핑크어랏,2.142857143,2.333333333
아떼_어센틱에어리립밤_헤이즈,2.285714286,2.357142857
에뛰드_픽싱틴트_로즈라일락,1.5,2.285714286
에뛰드_픽싱틴트_로즈블렌딩,1.833333333,2.5
에뛰드_픽싱틴트_미드나잇모브,2.142857143,2.333333333
에뛰드_픽싱틴트_바인핑크,1.75,2.523809524
에뛰드_픽싱틴트_베이크드피칸,1.9,2.5
에뛰드_픽싱틴트_우디핑크,2,2.7
에뛰드_픽싱틴트_코랄브리즈,1.75,2
에뛰드_픽싱틴트_쿨핑온탑,1.814814815,2
에뛰드_픽싱틴트_크랜베리플럼,2.1,2.37037037
에뛰드_픽싱틴트_핑크스프링클,1.571428571,2.6
에뛰드_픽싱틴트_핑크피그,2.4,2.857142857
오에니르_듀잇틴트_돌체크림,2.888888889,2.4
오에니르_듀잇틴트_러브모어,3,2.888888889
오에니르_듀잇틴트_모브누드,2.857142857,2.5
오에니르_듀잇틴트_살구베이비,2.8,2.714285714
오에니르_듀잇틴트_코코버디,3,2
오에니르_듀잇틴트_페어리윙크,2.8,2.375
오에니르_아워글로우립_루티나,2.6,2.6
오에니르_아워글로우립_멜로우,2.736842105,2.2
오에니르_아워글로우립_윈디아,2.5,2
오에니르_아워글로우립_칠리쉬,2.666666667,2
오에니르_아워글로우립_토스티,2.764705882,2
오에니르_아워글로우립_플러밍,2.5,1.882352941
웨이크메이크_워터블러링픽싱틴트_레드체크아웃,2.5,1.333333333
웨이크메이크_워터블러링픽싱틴트_모비쉬핑크,2,2
웨이크메이크_워터블러링픽싱틴트_뮤트어페어,1.4,1
웨이크메이크_워터블러링픽싱틴트_베리피즈,1.5,2.2
웨이크메이크_워터블러링픽싱틴트_빈노이즈,1.8,2.75
웨이크메이크_워터블러링픽싱틴트_소프트브릭,2,2.2
웨이크메이크_워터블러링픽싱틴트_스프링라이크핑크,1.8,2.625
웨이크메이크_워터블러링픽싱틴트_썬사이드플롯,2.25,2.6
웨이크메이크_워터블러링픽싱틴트_썬필터드,2.142857143,2
웨이크메이크_워터블러링픽싱틴트_어텀뮬리,1.909090909,2.428571429
웨이크메이크_워터블러링픽싱틴트_오리엔탈루비,1.733333333,2.454545455
웨이크메이크_워터블러링픽싱틴트_오션핑크,1.5,2.666666667
웨이크메이크_워터블러링픽싱틴트_젠틀브릭,2.333333333,3
웨이크메이크_워터블러링픽싱틴트_탠드저린,2,2.571428571
웨이크메이크_워터블러링픽싱틴트_텐더모브,2.25,2.5
웨이크메이크_워터블러링픽싱틴트_페탈드,1.777777778,2.5
웨이크메이크_워터블러링픽싱틴트_피그블룸,1.866666667,2.666666667
웨이크메이크_워터블러링픽싱틴트_피그올로지,1.875,2.433333333
웨이크메이크_워터블러링픽싱틴트_피치비치,2,2.75
웨이크메이크_워터블러링픽싱틴트_핑크미터,1.772727273,2.25
웨이크메이크_워터블러링픽싱틴트_핑크하이웨이,2.333333333,2.727272727
코스노리_워터블러리틴트_러브페어링,2.833333333,2.666666667
코스노리_워터블러리틴트_로즈두,2.846153846,2.916666667
코스노리_워터블러리틴트_리저브무드,2.625,2.692307692
코스노리_워터블러리틴트_빈티지모브,2.571428571,2.75
코스노리_워터블러리틴트_오브마티니,1.9,2.857142857
키보_도톰립플러스립플럼퍼_그레이프콕,2.5,2.5
키보_도톰립플러스립플럼퍼_무화과스무디,2,2
키보_도톰립플러스립플럼퍼_스르핑글래스,3,2
키보_도톰립플러스립플럼퍼_스프링글래스,2.833333333,3
키보_도톰립플러스립플럼퍼_스프링글리터,3,2.166666667
키보_도톰립플러스립플럼퍼_스프링달링,2.5,2
키보_도톰립플러스립플럼퍼_앵두쨈,3,2
키보_도톰립플러스립플럼퍼_원터오브미,3,1
키보_도톰립플러스립플럼퍼_윈터베리,2.75,3
키보_도톰립플러스립플럼퍼_윈터오브미,3,2.75
키보_도톰립플러스립플럼퍼_체리에이드,3,3
키보_도톰립플러스립플럼퍼_핑크크러쉬,2,2.666666667
키스미_아이라이트블러리픽싱틴트_로지데저트,2,2
키스미_아이라이트블러리픽싱틴트_릿치레드,2.333333333,3
키스미_아이라이트블러리픽싱틴트_모비쉬다프네,1.8,2.571428571
키스미_아이라이트블러리픽싱틴트_스모키로즈,1.764705882,2.6
키스미_아이라이트블러리픽싱틴트_콜드루비,1.888888889,2.705882353
키스미_아이라이트블러리픽싱틴트_퍼시몬코랄,1.642857143,2.333333333
투쿨포스쿨_끌레어틴트_글림레드,3,2.642857143
투쿨포스쿨_끌레어틴트_러디피치,2.75,2.666666667
투쿨포스쿨_끌레어틴트_로지뷰,3,2.375
투쿨포스쿨_끌레어틴트_로지스웨이,2.571428571,2.75
투쿨포스쿨_끌레어틴트_리치라이즈,2.75,2.571428571
투쿨포스쿨_끌레어틴트_문더스트,2.625,2
투쿨포스쿨_끌레어틴트_미러베리,2.466666667,2.25
투쿨포스쿨_끌레어틴트_포그선셋,2.714285714,2.466666667
투쿨포스쿨_플레르틴트_드리즐,2.6875,2.714285714
투쿨포스쿨_플레르틴트_티어풀,2.789473684,2.1875
투쿨포스쿨_플레르틴트_플랍,2.631578947,2.263157895
투쿨포스쿨_플레르틴트_플래쉬,2.5,2.631578947
투쿨포스쿨_플레르틴트_휘슬링,2.75,2.375
투쿨포스쿨_픽싱블러립_모노로즈,2,2.65
투쿨포스쿨_픽싱블러립_버닝베이지,1.4,2.142857143
투쿨포스쿨_픽싱블러립_칠링로즈,2.214285714,1.8
투쿨포스쿨_픽싱블러립_페탈핑크,1.5,2.357142857
투쿨포스쿨_픽싱블러립_포지코랄,1.916666667,2.2
투쿨포스쿨_픽싱블러립_프루아레드,1.428571429,2.166666667
투쿨포스쿨_픽싱블러립_피치릿,2.133333333,2.428571429
페리페라_잉크더벨벳_ 누디플로우,3,2.4
페리페라_잉크더벨벳_ 하트백만개,2,3
페리페라_잉크더벨벳_ 햇살주의보,1.5,3
페리페라_잉크더벨벳_누디라떼,1,2.5
페리페라_잉크더벨벳_누디풀데이,2,2
페리페라_잉크더벨벳_누디플로우,2,2
페리페라_잉크더벨벳_봄상특파원,1,1.666666667
페리페라_잉크더벨벳_페립포터,3,2
페리페라_잉크더벨벳_품절대란,1.6,3
페리페라_잉크더벨벳_하트백만개,1.666666667,3
페리페라_잉크더벨벳_햇살주의보,2,2.666666667
페리페라_잉크더에어리벨벳_내안에피치,2,2
페리페라_잉크더에어리벨벳_너지금무화과,1.833333333,2
페리페라_잉크더에어리벨벳_넘흐로즈넹,2.333333333,2.333333333
페리페라_잉크더에어리벨벳_딱복피치,1,2.333333333
페리페라_잉크더에어리벨벳_땡큐베리마치,2,3
페리페라_잉크더에어리벨벳_로즈림픽,2.25,2
페리페라_잉크더에어리벨벳_로즈맛꿀마,2.666666667,2
페리페라_잉크더에어리벨벳_로즈추구미,2.166666667,2
페리페라_잉크더에어리벨벳_물복피치,2,2
페리페라_잉크더에어리벨벳_미모열일,2.333333333,2.413793103
페리페라_잉크더에어리벨벳_심장폭격,2.166666667,2.333333333
페리페라_잉크더에어리벨벳_이거다살구,2,2.555555556
페리페라_잉크더에어리벨벳_정신체리,2.3125,2.25
페리페라_잉크더에어리벨벳_제당로즈만,2.4,2.6875
페리페라_잉크더에어리벨벳_최애쁨템,2.166666667,2.4
페리페라_잉크더에어리벨벳_피치나는솔로,3,2.5
페리페라_잉크더에어리벨벳_확신의피치상,2,3
퓌_3D볼류밍글로스_바닐라30,2.875,3
퓌_3D볼류밍글로스_바닐라70,2.909090909,2.0625
퓌_3D볼류밍글로스_소르베30,2.666666667,2.090909091
퓌_3D볼류밍글로스_소르베70,3,2.333333333
퓌_3D볼류밍글로스_스카치30,3,2.333333333
퓌_3D볼류밍글로스_스카치70,3,1.5
퓌_3D볼류밍글로스_앵두30,2.571428571,1
퓌_3D볼류밍글로스_앵두70,3,1.714285714
퓌_3D볼류밍글로스_캔디30,2.75,2.5
퓌_3D볼류밍글로스_캔디70,3,1.75
퓌_3D볼류밍글로스_커런트30,2.857142857,2
퓌_3D볼류밍글로스_커런트70,3,2
피브_컬러드롭립틴트_노메이크업,2.9375,2
피브_컬러드롭립틴트_로지코지,2.666666667,2.5
피브_컬러드롭립틴트_마이베스티스,3,2.555555556
피브_컬러드롭립틴트_미닝아웃,2.8,3
피브_컬러드롭립틴트_밀키피치,3,2.35
피브_컬러드롭립틴트_애프터스쿼트,2.75,2.333333333
피브_컬러드롭립틴트_위티플럼,2.75,2.25
피브_컬러드롭립틴트_칠링칠리,2.833333333,2.5
피브_컬러드롭립틴트_피터패트,2.736842105,3
피브_컬러드롭립틴트_허밍모브,3,2.578947368
,,2
