name_product,hydration
롬앤_블러퍼지틴트_모비쉬,2.2
롬앤_블러퍼지틴트_배드베리,1.588235294
롬앤_블러퍼지틴트_베리피즈,1
롬앤_블러퍼지틴트_언로즈,1.833333333
롬앤_블러퍼지틴트_웜밍업,1.625
롬앤_블러퍼지틴트_쿨로즈업,1.666666667
롬앤_블러퍼지틴트_쿨링업,1.9
롬앤_블러퍼지틴트_포멜로코,2
롬앤_블러퍼지틴트_피치다운,1.555555556
롬앤_쥬시래스팅틴트_그레이프밤,2.8
롬앤_쥬시래스팅틴트_누카다미아,2
롬앤_쥬시래스팅틴트_다크코코넛,2.5
롬앤_쥬시래스팅틴트_도토리밤,3
롬앤_쥬시래스팅틴트_드래곤핑크,3
롬앤_쥬시래스팅틴트_멀드피치,2
롬앤_쥬시래스팅틴트_멜로우페어,2.666666667
롬앤_쥬시래스팅틴트_베어그레이프,2.75
롬앤_쥬시래스팅틴트_베어애프리콧,2.333333333
롬앤_쥬시래스팅틴트_베어에프리콧,2
롬앤_쥬시래스팅틴트_베어쥬시오,2.666666667
롬앤_쥬시래스팅틴트_베어피그,2.833333333
롬앤_쥬시래스팅틴트_브리즈피그,2.666666667
롬앤_쥬시래스팅틴트_썸머센트,2
롬앤_쥬시래스팅틴트_오드그레이프,3
롬앤_쥬시래스팅틴트_쥬쥬브,3
롬앤_쥬시래스팅틴트_쥬쥬피그,2.285714286
롬앤_쥬시래스팅틴트_체리밤,2.6
롬앤_쥬시래스팅틴트_코니소다,3
롬앤_쥬시래스팅틴트_파파야잼,3
롬앤_쥬시래스팅틴트_포멜로스킨,2.75
롬앤_쥬시래스팅틴트_플럼콕,3
롬앤_쥬시래스팅틴트_피그피그,3
롬앤_쥬시래스팅틴트_피치미,2
롬앤_쥬시래스팅틴트_피치피치미,2.428571429
롬앤_쥬시래스팅틴트_핑크펌킨,3
릴리바이레드_무드라이어벨벳틴트_가식없는리치인척,1.75
릴리바이레드_무드라이어벨벳틴트_그윽한홍시인척,2
릴리바이레드_무드라이어벨벳틴트_무덤덤한무화과인척,2.25
릴리바이레드_무드라이어벨벳틴트_순수한사과인척,2.117647059
릴리바이레드_무드라이어벨벳틴트_시니컬한블루베리인척,2
릴리바이레드_무드라이어벨벳틴트_우아한산딸기인척,2.153846154
릴리바이레드_무드라이어벨벳틴트_자비없는포도인척,1.9375
릴리바이레드_무드라이어벨벳틴트_철없는체리인척,1.833333333
릴리바이레드_무드라이어벨벳틴트_청초한살구인척,3
릴리바이레드_무드라이어벨벳틴트_치명적인석류인척,1.9375
메리몽드_밀크하트틴트립앤치크_모브밀크,2.846153846
메리몽드_밀크하트틴트립앤치크_뮤트밀크,2.7
메리몽드_밀크하트틴트립앤치크_스트로베리밀크,2.666666667
메리몽드_밀크하트틴트립앤치크_캔디밀크,2.555555556
메리몽드_체리하트메가틴트_리얼체리,2
메리몽드_체리하트메가틴트_모브체리,2.166666667
메리몽드_체리하트메가틴트_뮤트체리,2.19047619
메리몽드_체리하트메가틴트_버터체리,1.75
메리몽드_체리하트메가틴트_차분체리,2.75
메리몽드_체리하트메가틴트_크림체리,1.333333333
뮤드_글라세립틴트_모브모어,2
뮤드_글라세립틴트_오운핑크,2.555555556
뮤드_글라세립틴트_위켄드,3
뮤드_글라세립틴트_윈디,2.8
뮤드_글라세립틴트_코랄글라세,2.833333333
뮤드_글라세립틴트_콜드체리,3
뮤드_글라세립틴트_플러미,3
뮤드_소프트블러틴트_러스티슈가,1.5
뮤드_소프트블러틴트_메이플,1
뮤드_소프트블러틴트_번트시에나,1
뮤드_소프트블러틴트_베리팟,1.666666667
뮤드_소프트블러틴트_소울모브,1
뮤드_소프트블러틴트_스무디,2.75
뮤드_소프트블러틴트_인스파이어,1.666666667
뮤드_소프트블러틴트_체리아워,3
뮤드_소프트블러틴트_퍼피,1
뮤드_소프트블러틴트_페일페탈,1.833333333
뮤드_소프트블러틴트_프렌치플럼,1
뮤드_소프트블러틴트_하트워밍,2.333333333
바닐라코_글로우베일립스틱_러브미,2.882352941
바닐라코_글로우베일립스틱_블리스,2.555555556
바닐라코_글로우베일립스틱_슈가코랄,2.625
바닐라코_글로우베일립스틱_애플캔디,2.25
바닐라코_글로우베일립스틱_쥬시피즈,3
바닐라코_글로우베일립스틱_핑크플레저,2.75
바닐라코_벨벳블러드베일립스틱_더스티 로즈,2
바닐라코_벨벳블러드베일립스틱_드리머,1.5
바닐라코_벨벳블러드베일립스틱_러스틱,1.666666667
바닐라코_벨벳블러드베일립스틱_로지 페탈,1.642857143
바닐라코_벨벳블러드베일립스틱_미스틱로즈,1.333333333
바닐라코_벨벳블러드베일립스틱_바비 핑크,1.666666667
바닐라코_벨벳블러드베일립스틱_선셋,1.75
바닐라코_벨벳블러드베일립스틱_스모크 모브,1.642857143
바닐라코_벨벳블러드베일립스틱_스타일아이콘,1
바닐라코_벨벳블러드베일립스틱_오렌지 블러쉬,1.666666667
바닐라코_벨벳블러드베일립스틱_위스퍼링 핑크,1.636363636
바닐라코_벨벳블러드베일립스틱_코랄 실루엣,1.5
바닐라코_벨벳블러드베일립스틱_클로짓,1.555555556
바닐라코_벨벳블러드베일립스틱_플릿츠,1.25
바닐라코_쉬어벨벳베일틴트_러브미,1.818181818
바닐라코_쉬어벨벳베일틴트_로지어페어,1
바닐라코_쉬어벨벳베일틴트_발레리나,1.516129032
바닐라코_쉬어벨벳베일틴트_브릭베이크,1.8
바닐라코_쉬어벨벳베일틴트_빈티지멜로우,1.6
바닐라코_쉬어벨벳베일틴트_캐시미어,1.333333333
바닐라코_쉬어벨벳베일틴트_텐더브리즈,1.727272727
바닐라코_쉬어벨벳베일틴트_프렌치레드,1.666666667
바닐라코_쉬어벨벳베일틴트_피그모브,1.5625
바닐라코_쉬어벨벳베일틴트_피오리,2
아떼_어센틱에어리립밤_써니사이드업,1.666666667
아떼_어센틱에어리립밤_쏘웜,3
아떼_어센틱에어리립밤_체리베리머치,2.230769231
아떼_어센틱에어리립밤_칠리,2.333333333
아떼_어센틱에어리립밤_핑크어랏,2.142857143
아떼_어센틱에어리립밤_헤이즈,2.285714286
