File Name,Saturation
더샘_새미스시럽샷멜팅밤_피치콧.png,51.0
더샘_새미스에이드샷틴트_로즈히비스커스.png,72.0
더샘_새미스에이드샷틴트_리치캐모마일.png,66.0
더샘_새미스에이드샷틴트_바이올렛진.png,54.0
더샘_새미스에이드샷틴트_애플시나몬.png,60.0
더샘_새미스에이드샷틴트_자몽허니.png,67.0
더샘_새미스에이드샷틴트_피치우롱.png,68.0
데이지크_멜팅캔디밤_누디피그.png,59.0
데이지크_멜팅캔디밤_로즈밀크티.png,58.0
데이지크_멜팅캔디밤_리치크림.png,58.0
데이지크_멜팅캔디밤_슈가플럼.png,69.0
데이지크_멜팅캔디밤_스윗포멜로.png,65.0
데이지크_멜팅캔디밤_애플시나몬.png,71.0
데이지크_멜팅캔디밤_젠틀피치.png,63.0
데이지크_멜팅캔디밤_체리피즈.png,66.0
데이지크_멜팅캔디밤_캔디소다.png,68.0
데이지크_멜팅캔디밤_크랜베리휩.png,70.0
데이지크_무드글로우립스틱_누드펌킨.png,57.0
데이지크_무드글로우립스틱_로즈힙.png,54.0
데이지크_무드글로우립스틱_멜로우코랄.png,55.0
데이지크_무드글로우립스틱_베이비살몬.png,43.0
데이지크_무드글로우립스틱_체리드롭.png,66.0
데이지크_무드글로우립스틱_크림샌드.png,50.0
데이지크_무드글로우립스틱_피치스.png,63.0
데이지크_무드글로우립스틱_핑크베리.png,51.0
데이지크_워터블러틴트_라벤더크림.png,52.0
데이지크_워터블러틴트_로지코랄.png,51.0
데이지크_워터블러틴트_리치피치.png,52.0
데이지크_워터블러틴트_베리베리.png,59.0
데이지크_워터블러틴트_베리에이드.png,64.0
데이지크_워터블러틴트_스위모브.png,54.0
데이지크_워터블러틴트_저스트피치.png,56.0
데이지크_워터블러틴트_칠링.png,73.0
데이지크_워터블러틴트_피치듀.png,50.0
데이지크_워터블러틴트_피치에이드.png,48.0
데이지크_쥬시듀이틴트_러브코랄.png,55.0
데이지크_쥬시듀이틴트_로즈애플.png,69.0
데이지크_쥬시듀이틴트_멜론샤벳.png,60.0
데이지크_쥬시듀이틴트_모브무드.png,49.0
데이지크_쥬시듀이틴트_모브베리.png,70.0
데이지크_쥬시듀이틴트_무드망고.png,53.0
데이지크_쥬시듀이틴트_베리슈.png,47.0
데이지크_쥬시듀이틴트_베어누드.png,58.0
데이지크_쥬시듀이틴트_스위티핑크.png,58.0
데이지크_쥬시듀이틴트_스윗마롱.png,54.0
데이지크_쥬시듀이틴트_오렌지콕.png,64.0
데이지크_쥬시듀이틴트_체리소다.png,72.0
데이지크_쥬시듀이틴트_칠리셔벗.png,66.0
데이지크_쥬시듀이틴트_코랄피즈.png,61.0
데이지크_쥬시듀이틴트_파파야밀크.png,46.0
데이지크_쥬시듀이틴트_플럼듀.png,89.0
데이지크_쥬시듀이틴트_피그베리.png,60.0
