File Name,Color Index,Red,Green,Blue,Max Proportion
데이지크_멜팅캔디밤_로즈밀크티.png,1,213,91,89,100.00%
데이지크_멜팅캔디밤_리치크림.png,1,234,102,98,92.79%
데이지크_멜팅캔디밤_슈가플럼.png,1,235,73,106,100.00%
데이지크_멜팅캔디밤_스윗포멜로.png,1,253,97,89,66.25%
데이지크_멜팅캔디밤_애플시나몬.png,1,212,74,61,100.00%
데이지크_멜팅캔디밤_젠틀피치.png,1,241,102,88,70.45%
데이지크_멜팅캔디밤_체리피즈.png,1,251,85,122,77.75%
데이지크_멜팅캔디밤_캔디소다.png,1,255,81,106,100.00%
데이지크_멜팅캔디밤_크랜베리휩.png,1,233,71,103,100.00%
데이지크_무드글로우립스틱_누드펌킨.png,1,214,110,92,94.98%
데이지크_무드글로우립스틱_로즈힙.png,1,219,105,101,72.10%
데이지크_무드글로우립스틱_멜로우코랄.png,1,236,116,106,99.41%
데이지크_무드글로우립스틱_베이비살몬.png,1,238,153,136,99.51%
데이지크_무드글로우립스틱_체리드롭.png,1,228,78,86,96.99%
데이지크_무드글로우립스틱_크림샌드.png,1,214,116,106,84.23%
데이지크_무드글로우립스틱_피치스.png,1,219,99,81,92.84%
데이지크_무드글로우립스틱_핑크베리.png,1,232,113,136,99.20%
데이지크_워터블러틴트_라벤더크림.png,1,190,91,118,100.00%
데이지크_워터블러틴트_로지코랄.png,1,205,101,102,94.74%
데이지크_워터블러틴트_리치피치.png,1,218,104,104,65.32%
데이지크_워터블러틴트_베리베리.png,1,192,79,120,100.00%
데이지크_워터블러틴트_베리에이드.png,1,235,85,148,98.71%
데이지크_워터블러틴트_스위모브.png,1,172,79,96,98.01%
데이지크_워터블러틴트_저스트피치.png,1,225,116,100,100.00%
데이지크_워터블러틴트_칠링.png,1,172,46,83,100.00%
데이지크_워터블러틴트_피치듀.png,1,239,140,120,100.00%
데이지크_워터블러틴트_피치에이드.png,1,195,103,102,60.95%
데이지크_쥬시듀이틴트_러브코랄.png,1,239,123,108,100.00%
데이지크_쥬시듀이틴트_로즈애플.png,1,214,67,82,100.00%
데이지크_쥬시듀이틴트_멜론샤벳.png,1,245,97,99,70.88%
데이지크_쥬시듀이틴트_모브무드.png,1,203,103,108,83.80%
데이지크_쥬시듀이틴트_모브베리.png,1,233,70,99,100.00%
데이지크_쥬시듀이틴트_무드망고.png,1,246,134,115,100.00%
데이지크_쥬시듀이틴트_베리슈.png,1,232,123,156,100.00%
데이지크_쥬시듀이틴트_베어누드.png,1,195,97,82,94.08%
데이지크_쥬시듀이틴트_스위티핑크.png,1,223,94,115,96.46%
데이지크_쥬시듀이틴트_스윗마롱.png,1,237,113,108,100.00%
데이지크_쥬시듀이틴트_오렌지콕.png,1,250,112,89,98.68%
데이지크_쥬시듀이틴트_체리소다.png,1,233,65,90,100.00%
데이지크_쥬시듀이틴트_칠리셔벗.png,1,231,88,79,88.46%
데이지크_쥬시듀이틴트_코랄피즈.png,1,249,100,96,100.00%
데이지크_쥬시듀이틴트_파파야밀크.png,1,240,134,129,100.00%
데이지크_쥬시듀이틴트_플럼듀.png,1,222,25,80,84.26%
데이지크_쥬시듀이틴트_피그베리.png,1,236,94,105,82.48%
데이지크_쥬시듀이틴트_피그플럼.png,1,194,91,122,100.00%
데이지크_쥬시듀이틴트_피치크러쉬.png,1,250,75,90,99.90%
