File Name,Color Index,Red,Green,Blue,Max Proportion,HEX,PCCS
누즈_컬러케어립밤_헤이우디.png,1,158,41,50,63.31%,#9e2932,
누즈_케어립추얼_디핀체리.png,1,174,63,104,100.00%,#ae3f68,PB
누즈_케어립추얼_레디쉬허.png,1,154,65,74,100.00%,#9a414a,
누즈_케어립추얼_몰튼피넛.png,1,156,80,82,93.54%,#9c5052,
누즈_케어립추얼_바이선셋.png,1,150,64,69,100.00%,#964045,
누즈_케어립추얼_쿨리쉬.png,1,161,67,95,100.00%,#a1435f,
누즈_케어립추얼_쿨베이브.png,1,171,90,113,84.09%,#ab5a71,PB
누즈_케어립추얼_탠드아워.png,1,164,81,95,100.00%,#a4515f,
누즈_케어립추얼_포지로지.png,1,154,68,71,94.11%,#9a4447,
누즈_케어립추얼_핀베리.png,1,131,51,67,99.95%,#833343,
더샘_새미스시럽샷멜팅밤_그레이프잼.png,1,157,81,92,100.00%,#9d515c,
더샘_새미스시럽샷멜팅밤_누가피넛.png,1,224,160,121,100.00%,#e0a079,RPB
더샘_새미스시럽샷멜팅밤_애플샤워.png,1,221,82,97,100.00%,#dd5261,RPB
더샘_새미스시럽샷멜팅밤_피그뮬리.png,1,192,81,80,100.00%,#c05150,
더샘_새미스시럽샷멜팅밤_피치콧.png,1,237,133,115,100.00%,#ed8573,R
더샘_새미스에이드샷틴트_로즈히비스커스.png,1,186,53,63,99.01%,#ba353f,
더샘_새미스에이드샷틴트_리치캐모마일.png,1,235,79,117,100.00%,#eb4f75,RPB
더샘_새미스에이드샷틴트_바이올렛진.png,1,181,83,112,76.53%,#b55370,PB
더샘_새미스에이드샷틴트_애플시나몬.png,1,178,73,72,66.84%,#b24948,
더샘_새미스에이드샷틴트_자몽허니.png,1,227,85,74,100.00%,#e3554a,
더샘_새미스에이드샷틴트_피치우롱.png,1,220,70,84,100.00%,#dc4654,
데이지크_멜팅캔디밤_누디피그.png,1,242,99,111,63.11%,#f2636f,R
데이지크_멜팅캔디밤_로즈밀크티.png,1,213,91,89,100.00%,#d55b59,
데이지크_멜팅캔디밤_리치크림.png,1,234,102,98,92.79%,#ea6662,RPB
데이지크_멜팅캔디밤_슈가플럼.png,1,235,73,106,100.00%,#eb496a,RPB
데이지크_멜팅캔디밤_스윗포멜로.png,1,253,97,89,66.25%,#fd6159,
데이지크_멜팅캔디밤_애플시나몬.png,1,212,74,61,100.00%,#d44a3d,
데이지크_멜팅캔디밤_젠틀피치.png,1,241,102,88,70.45%,#f16658,R
데이지크_멜팅캔디밤_체리피즈.png,1,251,85,122,77.75%,#fb557a,
데이지크_멜팅캔디밤_캔디소다.png,1,255,81,106,100.00%,#ff516a,
데이지크_멜팅캔디밤_크랜베리휩.png,1,233,71,103,100.00%,#e94767,RPB
데이지크_무드글로우립스틱_누드펌킨.png,1,214,110,92,94.98%,#d66e5c,
데이지크_무드글로우립스틱_로즈힙.png,1,219,105,101,72.10%,#db6965,RPB
데이지크_무드글로우립스틱_멜로우코랄.png,1,236,116,106,99.41%,#ec746a,R
데이지크_무드글로우립스틱_베이비살몬.png,1,238,153,136,99.51%,#ee9988,
데이지크_무드글로우립스틱_체리드롭.png,1,228,78,86,96.99%,#e44e56,R
데이지크_무드글로우립스틱_크림샌드.png,1,214,116,106,84.23%,#d6746a,RPB
데이지크_무드글로우립스틱_피치스.png,1,219,99,81,92.84%,#db6351,
데이지크_무드글로우립스틱_핑크베리.png,1,232,113,136,99.20%,#e87188,RPB
데이지크_워터블러틴트_라벤더크림.png,1,190,91,118,100.00%,#be5b76,RPB
데이지크_워터블러틴트_로지코랄.png,1,205,101,102,94.74%,#cd6566,RPB
데이지크_워터블러틴트_리치피치.png,1,218,104,104,65.32%,#da6868,RPB
데이지크_워터블러틴트_베리베리.png,1,192,79,120,100.00%,#c04f78,RPB
데이지크_워터블러틴트_베리에이드.png,1,235,85,148,98.71%,#eb5594,RP
데이지크_워터블러틴트_스위모브.png,1,172,79,96,98.01%,#ac4f60,
데이지크_워터블러틴트_저스트피치.png,1,225,116,100,100.00%,#e17464,RPB
데이지크_워터블러틴트_칠링.png,1,172,46,83,100.00%,#ac2e53,
데이지크_워터블러틴트_피치듀.png,1,239,140,120,100.00%,#ef8c78,R
데이지크_워터블러틴트_피치에이드.png,1,195,103,102,60.95%,#c36766,RPB
데이지크_쥬시듀이틴트_러브코랄.png,1,239,123,108,100.00%,#ef7b6c,R
데이지크_쥬시듀이틴트_로즈애플.png,1,214,67,82,100.00%,#d64352,
데이지크_쥬시듀이틴트_멜론샤벳.png,1,245,97,99,70.88%,#f56163,R
데이지크_쥬시듀이틴트_모브무드.png,1,203,103,108,83.80%,#cb676c,RPB
데이지크_쥬시듀이틴트_모브베리.png,1,233,70,99,100.00%,#e94663,RPB
데이지크_쥬시듀이틴트_무드망고.png,1,246,134,115,100.00%,#f68673,
데이지크_쥬시듀이틴트_베리슈.png,1,232,123,156,100.00%,#e87b9c,RP
데이지크_쥬시듀이틴트_베어누드.png,1,195,97,82,94.08%,#c36152,
데이지크_쥬시듀이틴트_스위티핑크.png,1,223,94,115,96.46%,#df5e73,RPB
데이지크_쥬시듀이틴트_스윗마롱.png,1,237,113,108,100.00%,#ed716c,R
데이지크_쥬시듀이틴트_오렌지콕.png,1,250,112,89,98.68%,#fa7059,
데이지크_쥬시듀이틴트_체리소다.png,1,233,65,90,100.00%,#e9415a,R
